"","X","did_purchase","ratings","recommendation","Real_Review"
"252",15750,FALSE,1,FALSE,"Fake Don't Recommand"
"253",15751,FALSE,1,FALSE,"Fake Don't Recommand"
"254",15755,FALSE,1,FALSE,"Fake Don't Recommand"
"255",15757,FALSE,2,FALSE,"Fake Don't Recommand"
"256",15766,FALSE,3,FALSE,"Fake Don't Recommand"
"257",15917,FALSE,1,FALSE,"Fake Don't Recommand"
"258",15918,FALSE,1,FALSE,"Fake Don't Recommand"
"259",15919,FALSE,1,FALSE,"Fake Don't Recommand"
"260",15920,FALSE,1,FALSE,"Fake Don't Recommand"
"261",15921,FALSE,1,FALSE,"Fake Don't Recommand"
"262",15927,FALSE,1,FALSE,"Fake Don't Recommand"
"263",15932,FALSE,1,FALSE,"Fake Don't Recommand"
"264",15933,FALSE,1,FALSE,"Fake Don't Recommand"
"265",15935,FALSE,1,FALSE,"Fake Don't Recommand"
"266",15937,FALSE,1,FALSE,"Fake Don't Recommand"
"267",15938,FALSE,2,FALSE,"Fake Don't Recommand"
"268",15939,FALSE,2,FALSE,"Fake Don't Recommand"
"269",15940,FALSE,2,FALSE,"Fake Don't Recommand"
"270",15941,FALSE,2,FALSE,"Fake Don't Recommand"
"271",15942,FALSE,2,FALSE,"Fake Don't Recommand"
"272",15943,FALSE,2,FALSE,"Fake Don't Recommand"
"273",15947,FALSE,2,FALSE,"Fake Don't Recommand"
"274",15948,FALSE,2,FALSE,"Fake Don't Recommand"
"275",15949,FALSE,2,FALSE,"Fake Don't Recommand"
"276",15952,FALSE,2,FALSE,"Fake Don't Recommand"
"277",15957,FALSE,3,FALSE,"Fake Don't Recommand"
"278",15958,FALSE,3,FALSE,"Fake Don't Recommand"
"279",15961,FALSE,3,FALSE,"Fake Don't Recommand"
"280",15966,FALSE,3,FALSE,"Fake Don't Recommand"
"281",15969,FALSE,3,FALSE,"Fake Don't Recommand"
"282",15970,FALSE,3,FALSE,"Fake Don't Recommand"
"283",15972,FALSE,3,FALSE,"Fake Don't Recommand"
"284",15973,FALSE,3,FALSE,"Fake Don't Recommand"
"285",16040,FALSE,4,FALSE,"Fake Don't Recommand"
"286",16401,FALSE,5,FALSE,"Fake Don't Recommand"
"287",16658,FALSE,5,FALSE,"Fake Don't Recommand"
"288",16674,FALSE,5,FALSE,"Fake Don't Recommand"
"289",16680,FALSE,5,FALSE,"Fake Don't Recommand"
"290",16846,FALSE,1,FALSE,"Fake Don't Recommand"
"291",16849,FALSE,2,FALSE,"Fake Don't Recommand"
"292",16950,FALSE,1,FALSE,"Fake Don't Recommand"
"293",17480,FALSE,1,FALSE,"Fake Don't Recommand"
"294",17481,FALSE,1,FALSE,"Fake Don't Recommand"
"295",17482,FALSE,1,FALSE,"Fake Don't Recommand"
"296",17483,FALSE,1,FALSE,"Fake Don't Recommand"
"297",17484,FALSE,2,FALSE,"Fake Don't Recommand"
"298",17485,FALSE,2,FALSE,"Fake Don't Recommand"
"299",17486,FALSE,2,FALSE,"Fake Don't Recommand"
"300",17487,FALSE,2,FALSE,"Fake Don't Recommand"
"301",17488,FALSE,3,FALSE,"Fake Don't Recommand"
"302",17491,FALSE,3,FALSE,"Fake Don't Recommand"
"303",17504,FALSE,5,FALSE,"Fake Don't Recommand"
"304",17514,FALSE,1,FALSE,"Fake Don't Recommand"
"305",17515,FALSE,1,FALSE,"Fake Don't Recommand"
"306",17517,FALSE,1,FALSE,"Fake Don't Recommand"
"307",17518,FALSE,1,FALSE,"Fake Don't Recommand"
"308",17521,FALSE,2,FALSE,"Fake Don't Recommand"
"309",17523,FALSE,2,FALSE,"Fake Don't Recommand"
"310",17527,FALSE,2,FALSE,"Fake Don't Recommand"
"311",17529,FALSE,2,FALSE,"Fake Don't Recommand"
"312",17530,FALSE,2,FALSE,"Fake Don't Recommand"
"313",17536,FALSE,3,FALSE,"Fake Don't Recommand"
